English	English	Synonym	Synonym	Synonym	Synonym	Russian	Russian	Russian	Russian	Russian	Synonym	Synonym	Synonym	Definition	Compare	See_also	See_also	See_also
routine reporting						плановая (рутинная) отчетность								Регулярная (еженедельная, помесячная, годовая) плановая отчетность.					
routine surveillance						плановый (рутинный) эпиднадзор													
rubella		german measles				краснуха													
rubella vaccine						вакцина против краснухи													
Sabin vaccine						вакцина Сэбина										oral poliomyelitis vaccine (оральная полиомиелитная вакцина).			
Safe Injection Global Network						Глобальная сеть по безопасности инъекций								ГСБИ - ассоциация заинтересованных сторон, объединенных общим стремлением гарантировать безопасность инъекций и их надлежащее использование. В рамках ГСБИ происходит обмен информацией, идеями и опытом, а также пропагандируется разработка и использование новаторских, экономически эффективных подходов к стимулированию безопасной и надлежащей практики введения инъекций при оказании медико-санитарной помощи в целом.					
safe injection practice						методика безопасности инъекций													
safety box		safety container	safe disposal box	sharps container	puncture (piercing) proof container	коробка для безопасного уничтожения острых медицинских отходов								Предназначена для сбора и уничтожения острых предметов и инструментария; представляет собой непрокалываемую ёмкость, в которую помещают шприцы и иглы сразу после их использования для временного хранения до уничтожения.					
Salk vaccine						Вакцина Солка										инактивированная полиомиелитная вакцина (inactivated poliomyelitis vaccine).			
sample						проба	образец												
sample size						размер выборки					объем выборки			Количество субъектов или объектов изучения, включенное в исследование.					
sampler						автоматический пробоотборник													
sampling						выборка	отбор							Процесс формирования выборки или группы субъектов/ объектов для исследования.					
sampling fraction						часть выборки													
sanitary landfill						санитарное захоронение отходов	санитарный полигон с грунтовой засыпкой									landfilling (закапывание отходов).			
scar						рубец													
scarlet fever						скарлатина													
Schick test		Schick control				реакция Шика								Внутрикожная проба с дифтерийным токсином.					
screening						скрининг								Обследование с целью выявление нераспознанных случаев заболеваний или иных явлений путем использования системы тестов или других процедур.					
seal						уплотняющая прокладка	уплотнитель												
seasonal occurrence		seasonal patterns	seasonality			сезонность								Закономерно повторяющийся в определенные месяцы (сезоны) года подъем заболеваемости, обусловленный действием сезонных факторов.		Periodicity (периодичность (эпидемического процесса)).			
seasonal variation						сезонные изменения	сезонные колебания												
secondary immunodeficiency						вторичный иммунодефицит								Состояние иммунодефицита, вызванное другим (основным) заболеванием.					
sector wide approach						межсекторальный (межотраслевой) подход													
sediment						осадок													
seed virus						посевной вирус								Вирусный материал, который приготовлен из производственного вирусного штамма и используется для приготовления вакцины.					
seizures		convulsions				судороги													
selection of suppliers						выбор поставщиков								Один из процессов в обеспечении вакцинами, в соответствии с которым покупатели определяют круг поставщиков для надежного размещения заказов на высококачественные вакцины по умеренным ценам.					
senior officer						старший специалист (сотрудник)													
sensibility						чувствительность	восприимчивость							Способность организма реагировать на изменение факторов внешнего воздействия (или на раздражители).					
sensitization		sensibilization				сенсибилизия	аллергизация												
sensitivity						чувствительность	сенситивность	восприимчивость						Специфически измененная реактивность. Вероятность возникновения реакции на введение антигенов.	susceptibility (восприимчивость (к болезни)).				
sentinel sites						пункты дозорного эпиднадзора													
sentinel surveillance						дозорный эпиднадзор	контрольно-выборочный эпиднадзор							Вид эпиднадзора основанного на сборе данных по выборочным пунктам или участкам.					
sepsis						сепсис													
septum of a multidose vial						предохранительная прокладка многодозового флакона													
sequela						последствие	остаточное явление												
seroconversion						сероконверсия								Переход отрицательной серологической реакции в положительную при повторном определении уровня антител у одного и того же лица.					
seroconversion rate						уровень (показатель) сероконверсии								Частота сероконверсии (среди вацинированных).					
serodiagnosis						серодиагностика								Диагностика инфекционных заболеваний серологическим методом.					
seroepidemiology						сероэпидемиология								Эпидемиологическое исследование, основанное на массоовом исследовании сывороток крови.					
serologic response						серологический ответ	серологическая реакция												
serologic status		serostatus				серологический статус													
serological investigation						серологическое расследование (исследование)													
serological monitoring						серологический мониторинг													
serological surveillance		serosurveillance				серологический эпиднадзор								Эпиднадзор за инфекционными болезнями на основе выявления серологическими методами иммунологических маркеров заболевания среди групп населения .					
serological survey		serosurvey				серологическое обследование								Применяется, как правило, для оценки коллективного иммунитета.					
serological test						серологический тест (анализ)													
serology						серология													
seronegative						серонегативный													
seropositive						серопозитивный	сероположительный												
seroprevention		seroprophylaxis				серопрофилактика								Специфическая профилактика инфекционных болезней путем введения иммунных сывороток или иммуноглобулинов.					
serotype						серотип								Подвид микроорганизма, отличающийся от других представителей своего вида специфическими антигенными свойствами.					
serotype specific antisera						типоспецифические антисыворотки								Сыворотки, содержащие антитела к определенному серотипу возбудителя.					
serotyping						серотипирование													
serum immunoglobulins						сывороточные иммуноглобулины													
severe acute respiratory syndrome						тяжелый острый респираторный синдром					атипичная пневмония								
sex distribution						распределение по полу													
shake test						тест встряхивания													
sharps						заостренные (острые) предметы и инструменты					остроконечные предметы и инструментарий								
sharps container		safety box	safety container	safe disposal box	puncture (piercing) proof container	контейнер для хранения отработанных острых предметов и инструментария										safety box (контейнер безопасности).			
shortfall						нехватка	дефицит												
short-term professional						временный сотрудник													
side effect (of vaccine)						побочный эффект								Побочная реакция привитого на введение вакцины.					
silent areas (territories)						молчащие (немые) территории								Территории, где в течение определенного времени не выявляются, подлежащие регистрации, болезни, синдромы или другие явления.					
single-dose vial						однодозовый флакон													
single-handed scoop technique						надевание колпачка на иглу одной рукой													
single (double or triple) rack steam sterilizer						паровой стерилизатор с одной (двумя или тремя) решетками для инструментария													
single radial diffusion (technique)						одномерная радиальная иммунодиффузия													
single-use syringe						одноразовый шприц										disposable syringe (одноразовый шприц).			
skin test		tuberculin test	Mantoux test			внутрикожная туберкулиновая проба					проба Манту					tuberculin skin test (внутрикожный тест с туберкулином).			
smallpox		variola				натуральная оспа								Официальное заявление об искоренении этой болезни в результате усилий Глобальной программы ВОЗ по ликвидации оспы было сделано в 1980 году.					
smallpox vaccine						противооспенная вакцина													
smear						мазок								Препарат для микроскопии, приготовленный путем нанесения на предметное сткло тонкого слоя исследуемого материала (или его взвеси).					
social marketing						социальный маркетинг								Использование рыночных методик и концепций для формирования поведенческих навыков и достижения социальных целей.					
social mobilization						социальная мобилизация													
software						программное обеспечение	программные средства												
soluble antigens						растворимые антигены													
spacing of vaccine		vaccine spacing				интервалы между введением доз вакцины													
special studies						специальные исследования													
specific						специфичный													
specific antibodies						специфические антитела								Антитела к определенному антигену.					
specific immunity						специфический иммунитет								Иммунитет к конкретному антигену, возникший в результате иммунизации или естественного инфицирования.					
specification						спецификация								Документ, в котором указаны описание и требования к препарату.					
specificity						специфичность													
specimen						проба	образец												
specimen-based data						результаты исследования пробы (образца) материала													
specimen carrier						термосумка для транспортировки проб									vaccine carrier (термосумка, сумка-холодильник для транспортировки вакцин).				
specimen processing						надлежащее обращение с пробами								Общепринятые правила работы с пробами биологического материала распространяются на процедуры их забора, хранения, транспортировки и анализа, включая уничтожение отработанного материала.					
split ratio						кратность перевивки								Лабораторный термин. Используется при исследованиях на полиовирусы, растущих на перевиваемых культурах клеток, вызывая сплошную круглоклеточную дегенерацию.					
spot map						точечная карта								Карта, показывающая географическое распределение изучаемого явления/признака путем нанесения на нее точек.					
spreading of disease		propagation of disease				распространение болезни													
stability of vaccines						термостабильность вакцин								Способность вакцины сохранять достаточную иммуногенную активность под воздействием температурного фактора.					
stable population						стабильное население													
staff		personnel				персонал	штат												
stakeholder						заинтересованная сторона													
standard case definition						стандартное определение случая (заболевания)										case definition (определение случая).			
standard disposable syringes		conventional disposable syringes				стандартные одноразовые шприцы										disposable syringe (needle) (одноразовый шприц (игла)).			
standard operating procedure						стандартная операционная процедура								Подробное описание всех методов и мероприятий, по выполнению определенных процедур, обеспечивающих соблюдение необходимых стандартов.					
standardized incidence rate						стандартизованный коэффициент заболеваемости													
standardization						стандартизация													
stand-by generator		back-up generator				резервный генератор								Запасной источник электроэнергии (генератор) на складе вакцин.					
starting materials						сырье													
State Sanitary and Epidemiological Surveillance						Государственный санитарно-эпидемиологический надзор	Госсанэпиднадзор												
statistical power						статистическая сила исследования								Вероятность выявления статистически достоверного различия.					
steam autoclaving						автоклавирование (стерилизация) паром										autoclave (автоклав).			
steam sterilizer						паровой стерилизатор													
sterilizables						стерилизуемый инструментарий													
sterilization						стерилизация								Процесс полного освобождения объекта от микроорганизмов путем воздействия физических факторов.					
heat sterilization						воздушная стерилизация								производится в воздушном стерилизаторе					
steam sterilization						паровая стерилизация								производится в паровом стерилизаторе (автоклаве)					
radiation sterilization						радиационная стерилизация								обработка термолабильных материалов и изделий в специальных камерах проходного типа					
steam in place						стерилизация паром на месте								стерилизация оборудования без его демонтажа					
ultraviolet irradiation						стерилизация ультрафиолетовым облучением													
thermal sterilization						термическая стерилизация													
terminal sterilization						финишная (терминальная) стерилизация								процесс, при котором продукт стерилизуется в окончательной упаковке					
chemical sterilization						химическая стерилизация								обработка термолабильных изделий и материалов газами или растворами биоцидов					
sterilizer						стерилизатор													
sterilizer drum						стерилизационный барабан (бикс)													
stock						запас	запасы												
stock-out of vaccine		shortage of vaccine				дефицит(истощение запаса) вакцины													
stockpile						резервный запас (вакцин)								Запас вакцин на случай чрезвычайных обстоятельств		buffer stock			
stockpiling						формирование резервных запасов													
stool surveys						исследование проб стула при групповых обследованиях													
storage						хранение													
store						склад													
store keeper						кладовщик													
strain						штамм													
stratification						стратификация								Процесс или результат разделения выборки на подгруппы в соответствии с определенными критериями.					
stratum						страта	слой	пласт											
structured observation						организованное наблюдение													
study						исследование	изучение												
study design						план исследования	структура исследования							Включает выбор предметов исследования, их разделение на подгруппы, методы исследования, порядок измерений и т.д.					
study population						исследуемая группа населения													
study size						объем (размер) исследования													
subacute sclerosing panencephalitis						подострый склерозирующий панэнцефалит													
subcutaneous administration						подкожное введение (препарата)													
subnational immunization days						суб-национальные дни иммунизации													
substance						субстанция	вещество												
sudden infant death syndrome						синдром внезапной смерти грудного ребенка													
sugar glass technology		sugar glassification				леденцовая технология								Технология разработки и производства “вакцин-леденцов” или леденцовых вакцин.		sugar-glassified vaccines (“вакцины-леденцы”).			
sugar-glassified vaccines		sugar-glass stabilized vaccines				вакцины-леденцы	леденцовые вакцины							Заключение некоторых вакцин в леденцовую оболочку обеспечивает их термостабильность, что способствует уменьшению зависимости от весьма затратной и непростой в техническом обслуживании холодовой цепи. Это, в свою очередь, сокращает объемы потерь вакцины (vaccine wastage) .вследствие ее порчи из-за действия высоких температур.		sugar glass technology (леденцовая технология).			
summary						краткое изложение	резюме												
supervisor						куратор	руководитель												
supervision						кураторство	руководство												
supervisory (site) visit						посещение (объекта) куратором (руководителем)													
supplemental immunization activities		supplementary immunization				дополнительные мероприятия по иммунизации													
supportive supervision						поддерживающее кураторство								Кураторство (руководство персоналом), включающее обучение и организационно-методическую помощь					
suppression						подавление													
suppressor cells		T suppressor cells				клетки-супрессоры					T-супрессоры	Тс-клетки	супрессорные Т-клетки						
surface antigens						поверхностные антигены													
surveillance						эпидемиологический надзор	эпиднадзор							Систематический непрерывный сбор и учет данных, их анализ и своевременное распространение информации среди заинтересованных лиц с целью проведения мероприятий по профилактике и/или борьбе с болезнями.					
surveillance for AFP						эпиднадзор за ОВП													
surveillance report						отчет по эпиднадзору													
surveillance sensitivity						чувствительность системы эпиднадзора													
survey						выборочное обследование													
susceptibility						восприимчивость (к болезни)													
suspected case						случай, подозрительный на (какую-либо болезнь или инфекцию)													
sustainability						устойчивость	стабильность												
sustainable programme						устойчиво (стабильно) функционирующая программа													
swabbing of vial tops or ampoules (with an antiseptic)						обработка тампоном с антисептиком наконечников флаконов или ампул													
syringe						шприц													
systemic						системный													
system-wide barriers						проблемы (препятствия) системного характера													
tally sheet						учетная форма (при вакцинации)								Стандартные формы для оперативного учета числа сделанных прививок.					
T-antigens						Т-антигены													
target age group						целевая возрастная группа населения													
target audience						целевая аудитория								Основная группа лиц, на которую направлена информационно- разъяснительная работа.					
target cells						клетки-мишени													
target diseases						целевые болезни (инфекции)								Болезни, являющиеся целью программы иммунизации.					
target population						целевое население								Группа лиц, в отношении которых планируется предпринять действия (исследование, профилактические мероприятия и т.п.).					
T-cells		thymus-derived lymphocytes				Т-клетки								Вид лимфоцитов.		suppressor cells (клетки-супрессоры)	lymphocytes (лимфоциты).		
temperature data logger						устройство для регистрации температуры								Портативный электронный терморегистратор работающий по принципу “многоразовой контрольной карточки-индикатора”.					
temperature recording sheet						форма для регистрации температуры													
temporary contraindication						временные противопоказания к прививкам													
test system						тест-система	тест-набор									diagnostic kit (набор диагностикумов).			
tetanus						столбняк										neonatal tetanus (столбняк новорожденного)	maternal and neonatal tetanus (столбняк матерей и новорожденных).		
tetanus-diphtheria toxoid with reduced amount of diphtheria toxoid						адсорбированная дифтерийно-столбнячный анатоксин с уменьшенным содержанием дифтерийного анатоксина													
tetanus immunoglobulin		tetanus immune globulin				противостолбнячный иммуноглобулин													
tetanus toxoid						столбнячный анатоксин													
tetravalent						четырехвалентная вакцина													
T-helpers						Т-хелперы								Вид лимфоцитов.		lymphocytes (лимфоциты).			
thermal shock						термический шок								Процесс разрушения вакцины, возникающий вследствие использования растворителя, который имеет слишком высокую температуру.					
thermo-recorder		thermographic recorder				термограф								Прибор для непрерывной автоматической записи температуры.					
thermostat						термостат													
thiomersal		ethyl mercury				тиомерсал					мертиолят			Используется в качестве консерванта в процессе изготовления вакцин.					
throat swab		specimen from the pharynx				мазок из зева													
tick-born encephalitis						клещевой энцефалит								Вирусная инфекция. Основным резервуаром и переносчиком вируса являются иксодовые клещи (hard ticks or ixodis). Характеризуется лихорадкой и тяжелыми поражениями центральной нервной системы.					
tickler files						прививочная картотека													
time, steam, temperature spot verification indicator		time, steam, and temperature indicators				точечный индикатор времени, пара и температуры (ВПТ-индикатор)								Точечные химические индикаторы времени, воздействия пара и температуры необходимы для каждого цикла стерилизации.					
tissue culture						культура ткани													
tissue culture vaccine						культуральная вакцина								Вакцина, приготавливаемая на культуре тканей.					
tissue specimen						гистологический препарат													
titration of antibodies						титрование антител													
tool						метод	инструмент												
toxic shock syndrome						синдром токсического шока								Одно из наиболее тяжелых осложнений при вакцинации, возникающее в результате нарушений безопасности инъекций / иммунизации.					
toxigenecity						токсигенность								Способность патогенного организма выделять токсин.					
toxin						токсин (яд)								Продукт жизнедеятельности ряда микроорганизмов, способный вызывать патологический эффект.		exotoxin (экзотоксин)	endotoxin (эндотоксин).		
toxoid						анатоксин								Обезвреженный токсин, сохраняющий свои антигенные свойства при введении в организм (синтезируются антитела к токсину).					
trainee		intern				слушатель	стажер	курсант											
trainer						преподаватель													
transfer factor						фактор переноса													
transmission	transmission of infection					передача возбудителя инфекции													
travel authorization						командировочное удостоверение													
traveler's immunization						иммунизация путешествующих лиц													
treatment						обработка	обеззараживание (отходов)	лечение											
treatment with heat						тепловая обработка													
trend						тенденция													
trigger						пусковой механизм (заболевания)													
true positive						истинно положительный													
true value						истинное значение													
tube		test tube				пробирка													
tube agglutination test						реакция агглютинации в пробирке													
tuberculin						туберкулин													
tuberculin hypersensitivity						повышенная чувствительность к туберкулину													
tuberculin skin test		tuberculin test	Mantoux test			внутрикожный тест с туберкулином (проба Манту)	внутрикожная туберкулиновая проба												
tuberculin unit						туберкулиновая единица													
tuberculosis						туберкулез													
two-hand recapping						практика надевания защитного колпачка на иглу двумя руками													
туре						тип													
typhoid fever						брюшной тиф													
typhoid vaccine						брюшнотифозная вакцина													
typing						типирование								Определение типа возбудителя заболевания.					
ultracentrifugation						ультрацентрифугирование													
underdiagnosed						нераспознанный	недиагностированный												
under-diagnosis						гиподиагностика													
underestimation						недооценка													
underreporting						недоучет													
under-used vaccine						недостаточно используемая вакцина								Имеющаяся эффективная вакцина, которая не внедрена в плановую иммунизацию в странах, где ее использование необходимо с эпидемиологической точки зрения.					
unique identifier						индивидуальный идентификационный номер													
United Nations Educational, Scientific and Cultural Organization						Международная организация ООН по вопросам образования, науки и культуры								Специализированное учреждение системы ООН.					
United Nations International Children Emergency Fund or United Nations Children's Fund						Детский фонд Организации Объединенных Наций								Специализированное учреждение системы ООН.					
United States Agency for International Development						Агентство США по международному развитию													
Universal Childhood Immunization						Всеобщая иммунизация детей													
universal infant vaccination						всеобщая иммунизация детей первого года жизни													
updated						уточненный	обновленный	соответствующий последним данным											
upper limit						верхняя граница	предел												
urticaria						крапивница								Вид сыпи, может быть симптомом аллергической реакции.					
user fees						плата пациента (пользователя услуг)													
utilization factor						коэффициент использования								Это разница между заявленной производителем теоретической вместимостью транспортного средства, термоконтейнера, контейнера безопасности для утилизации отработанных шприцев или другого транспортного контейнера и фактической вместимостью на практике. Этот коэффициент всегда меньше 1.0. КИ.					
vaccination						вакцинация										immunization (иммунизация).			
vaccination card		immunization card	immunization record			прививочная карта	карта профилактических прививок									immunization card (прививочная карта).			
vaccination certificate						свидетельство о вакцинации (прививках)	сертификат профилактических прививок									vaccination card (прививочная карта).			
vaccination history						прививочный анамнез													
vaccination record						регистрация прививок	форма для учета прививок												
vaccination schedule		immunizatin schedule				календарь (профилактических) прививок													
vaccinator		vaccinationist	vaccine provider			вакцинатор													
vaccine						вакцина													
anti-idiotype vaccine						антиидиотипическая вакцина								вакцина, полученная на основе антиидиотипических антител					
associated vaccine						ассоциированная (комбинированная) вакцина								вакцина содержит антигены возбудителей разных инфекционных болезней					
attenuated vaccine						аттенуированная вакцина								вакцина, содержащая живые микроорганизмы с ослабленной вирулентностью					
protein vaccine						белковая вакцина								вакцина на основе белков, выделенных из микроорганизмов (дифтерийный, столбнячный анатоксины и др.)					
engineered vaccine						генно-инженерная вакцина								вакцина, полученная с использованием генетически модифицированных клеток					
DNA vaccines						ДНК-вакцины								вакцины на основе ДНК микроорганизмов, обеспечивающей образование антигенов в организме реципиента					
live vaccine						живая вакцина								вакцина, содержащая живые микроорганизмы с ослабленной вирулентностью					
combined vaccine						комбинированная (комплексная) вакцина								вакцина, направленная одновременно против 2-х и более инфекций (АКДС-вакцина, тривакцина для профилактики кори, паротита и краснухи и пр.)					
conjugate vaccine						конъюгированная вакцина								вакцина, содержащая полисахарид микроорганизма, химически связанный с белковым носителем (полисахаридная менингококковая вакцина, вакцина против Hib-инфекции и др.)					
monovalent vaccine						моновалентная вакцина								вакцина, содержащая антиген возбудителя только одной болезни					
mucosal vaccine						мукозальная вакцина								вакцина для орального и назального введения (полиомиелитная вакцина и др.)					
polysaccharide vaccine						полисахаридная вакцина								вакцина на основе полисахарида поверхностных структур микроорганизмов (пневмококковая, менингококковая А и С вакцина и др.)					
multivalent (polyvalent) vaccine						поливалентная вакцина								содержит несколько антигенов					
recombinant vaccine						рекомбинантная вакцина								вакцина, содержащая клонированные гены или их продукты (вакцина против гепатита В)					
ribosomal vaccine						рибосомальная вакцина								содержит рибосомы, выделенные из микробных клеток, обладает высокой протективной активностью, низкой типоспецифичностью					
synthetic vaccine						синтетическая вакцина								содержит синтетические аналоги антигенов возбудителей определенных заболеваний					
subunit vaccines						субъединичные вакцины								вакцины, содержащие отдельные растворимые компоненты микроорганизма (белки, ДНК и пр.)					
killed vaccine						убитая вакцина								содержит микроорганизмы, инактивированные физическим (нагревание, УФ-облучение) или химическим (фенол, этанол, формальдегид) методами; и другие					
vaccine administration		administration of vaccine				введение вакцины													
vaccine arrival report						акт приемки вакцины													
vaccine-associated						вакциноассоциированный (связанный с вакциной)													
vaccine-associated paralytic poliomyelitis						вакциноассоциированный случай паралитического полиомиелита								Случай острого вялого паралича с остаточными явлениями, возникший через 4-30 дней после вакцинации ОПВ, или через 4-75 дней в случае развития заболевания у лица, имевшего контакт с привитым ОПВ.					
vaccine carrier						термосумка	сумка-холодильник для транспортировки вакцин							Термоконтейнер небольшого размера для доставки биопрепаратов.					
vaccine cold chain monitor card		cold chain monitor card	monitor mark indicator			контрольная карточка-индикатор холодовой цепи										cold chain monitor card (контрольная карточка-индикатор).			
vaccine composition						состав вакцины										vaccine formulation (состав вакцины).			
vaccine coverage						охват населения прививкой													
vaccine-derived poliovirus						полиовирус, производный от вакцинного													
vaccine efficacy		protective efficacy				эфективность вакцины	эпидемиологическая эффективность вакцины												
vaccine formulation		vaccine composition				состав вакцины													
Vaccine Fund						Фонд вакцин								Устаревшее название финансового органа ЕАВИ					
GAVI Fund						Фонд ГАВИ.													
Vaccine Fund Trust Account at UNICEF						Доверительный счет Фонда вакцин при ЮНИСЕФ													
UNICEF Trust Account						Доверительный счет ЮНИСЕФ													
